measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),119,Trinidad and Tobago,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,151.6452702606126,366.9594718447298,0.6467020285964671
2,DALYs (Disability-Adjusted Life Years),157,Yemen,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,218.4352894442347,492.02994188779456,1.0019951847514337
2,DALYs (Disability-Adjusted Life Years),141,Egypt,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,129.6024590306131,307.36967481775025,0.5531226929925444
2,DALYs (Disability-Adjusted Life Years),74,Andorra,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,98.81114261613847,243.25944767125256,0.4049737902584346
2,DALYs (Disability-Adjusted Life Years),184,Mozambique,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,121.52363466973293,280.66552966951474,0.495204190458967
2,DALYs (Disability-Adjusted Life Years),162,Bhutan,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,52.38812388981692,130.22331355157536,0.1996060731718184
2,DALYs (Disability-Adjusted Life Years),71,Australia,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,131.72472602174255,311.08291068442986,0.4992039438221679
2,DALYs (Disability-Adjusted Life Years),119,Trinidad and Tobago,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,151.6452702606126,366.9594718447298,0.6467020285964671
2,DALYs (Disability-Adjusted Life Years),162,Bhutan,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,52.38812388981692,130.22331355157536,0.1996060731718184
2,DALYs (Disability-Adjusted Life Years),49,North Macedonia,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,57.09605630333002,137.87735961407944,0.22650112145257895
2,DALYs (Disability-Adjusted Life Years),14,Maldives,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,86.498233851163,209.72848942448692,0.34922748828937733
2,DALYs (Disability-Adjusted Life Years),131,Nicaragua,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,90.80504953600344,220.53875337243045,0.36295759754112167
2,DALYs (Disability-Adjusted Life Years),76,Belgium,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,95.25058153806505,221.4510903907438,0.3518507896010923
2,DALYs (Disability-Adjusted Life Years),148,Morocco,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,216.29775455373107,490.4678342285108,1.028042561635992
2,DALYs (Disability-Adjusted Life Years),194,Lesotho,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,219.08989944160808,495.6555287506633,0.9727952946298924
2,DALYs (Disability-Adjusted Life Years),172,Equatorial Guinea,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,276.88057716203275,614.5297277069401,1.3234802536949921
2,DALYs (Disability-Adjusted Life Years),85,Israel,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,162.68059864104933,372.007766010427,0.7998395578700754
2,DALYs (Disability-Adjusted Life Years),74,Andorra,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,98.81114261613847,243.25944767125256,0.4049737902584346
2,DALYs (Disability-Adjusted Life Years),28,Solomon Islands,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,116.8918717929558,253.25422693982085,0.6080951654462815
2,DALYs (Disability-Adjusted Life Years),186,Seychelles,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,39.76616827207816,98.71001160627789,0.16874586329349678
2,DALYs (Disability-Adjusted Life Years),126,Costa Rica,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,109.2142676542018,250.14010570058946,0.5103162244165067
2,DALYs (Disability-Adjusted Life Years),110,Dominica,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,99.57626012791431,238.83569662491183,0.43639956473654395
2,DALYs (Disability-Adjusted Life Years),136,Paraguay,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,59.38559670901593,149.58837905441936,0.2499879476955042
2,DALYs (Disability-Adjusted Life Years),143,Iraq,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,100.57125958276947,246.87650913238897,0.4410673993758341
2,DALYs (Disability-Adjusted Life Years),121,Bolivia (Plurinational State of),2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,146.285226388222,328.6681323771214,0.6891238468368577
2,DALYs (Disability-Adjusted Life Years),95,United Kingdom,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,162.86846985277188,360.02547397258746,0.7327949004768342
2,DALYs (Disability-Adjusted Life Years),126,Costa Rica,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,109.2142676542018,250.14010570058946,0.5103162244165067
2,DALYs (Disability-Adjusted Life Years),179,Ethiopia,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,164.2187856041345,355.52227921664263,0.905376458785681
2,DALYs (Disability-Adjusted Life Years),76,Belgium,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,95.25058153806505,221.4510903907438,0.3518507896010923
2,DALYs (Disability-Adjusted Life Years),83,Iceland,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,37.04684963541489,94.04602943279365,0.13907485988362825
2,DALYs (Disability-Adjusted Life Years),112,Grenada,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,101.91612730310678,241.54989934282636,0.4211824088232593
2,DALYs (Disability-Adjusted Life Years),150,Oman,2,Female,24,15-49 years,558,Mental disorders,135,Intimate partner violence,3,Rate,1990,162.83902267396462,370.72684048209527,0.7458862210494321
2,DALYs (Disability-Adjusted Life Years),110,Dominica,2,Female,24,15-49 years,567,Depressive disorders,135,Intimate partner violence,3,Rate,1990,99.57626012791431,238.83569662491183,0.43639956473654395
